Indiana,+6,Illinois,20220311,162715
Texas A&M,+9.5,Auburn,20220311,162715
Fordham,+12,Davidson,20220311,162715
Louisiana Tech,+3.5,North Texas,20220311,162715
Cincinnati,+12.5,Houston,20220311,162715
LSU,+3,Arkansas,20220311,162715
Saint Louis,+1.5,Saint Bonaventure,20220311,162715
UAB,-7,Middle Tennessee,20220311,162715
Tulane,-1,Temple,20220311,162715
Grambling,+7,Texas Southern,20220311,162715
Akron,+5.5,Toledo,20220311,162715
Michigan State,+3.5,Wisconsin,20220311,162715
Mississippi State,+7.5,Tennessee,20220311,162715
Massachusetts,+10,Dayton,20220311,162715
Morgan State,+5.5,Norfolk State,20220311,162715
A&M-Corpus Christi,+5.5,Nicholls State,20220311,162715
Creighton,+3,Providence,20220311,162715
Miami FL,+9,Duke,20220311,162715
TCU,+8,Kansas,20220311,162715
Tulsa,+10,SMU,20220311,162715
Ohio,-1,Kent State,20220311,162715
Weber State,-1,Montana State,20220311,162715
Vanderbilt,+10.5,Kentucky,20220311,162715
Richmond,+3.5,VCU,20220311,162715
Coppin State,+2,North Carolina Central,20220311,162715
New Orleans,+2.5,Southeastern Louisiana,20220311,162715
Penn State,+11,Purdue,20220311,162715
Colorado,+10,Arizona,20220311,162715
UConn,+2.5,Villanova,20220311,162715
UC Santa Barbara,-4,Long Beach State,20220311,162715
Grand Canyon,+2.5,New Mexico State,20220311,162715
Virginia Tech,+2.5,North Carolina,20220311,162715
Oklahoma,+7,Texas Tech,20220311,162715
UCF,+9.5,Memphis,20220311,162715
Wyoming,+2.5,Boise State,20220311,162715
Alabama A&M,+5,Alcorn,20220311,162715
Portland State,+4.5,Northern Colorado,20220311,162715
USC,+6,UCLA,20220311,162715
Abilene Christian,-2,Seattle,20220311,162715
Hawaii,+2.5,Cal State Fullerton,20220311,162715
San Diego State,-1.5,Colorado State,20220311,162715
