Rank,Team,Elo Rating,Point Spread vs. Next Rank,7 Day Change
1,UCLA,2030.0,-1.0,+40
2,Duke,2004.0,-1.0,-7
3,Texas,1979.0,-0.2,-0
4,Alabama,1973.0,-0.2,+41
5,South Carolina,1967.0,-0.1,+26
6,Michigan State,1965.0,-0.3,-28
7,Auburn,1958.0,-0.0,+33
8,Tennessee,1957.0,-0.5,+56
9,UConn,1945.0,-0.7,-30
10,Kansas State,1927.0,-0.5,+76
11,Ohio State,1914.0,-0.1,-20
12,Creighton,1911.0,-0.4,+19
13,Ole Miss,1900.0,-0.5,-0
14,Michigan,1887.0,-0.1,+91
15,Kentucky,1884.0,-0.1,-58
16,Maryland,1881.0,-0.0,+1
17,Notre Dame,1881.0,-0.2,-10
18,Baylor,1877.0,-0.2,+39
19,Oklahoma,1873.0,-0.3,+17
20,UNC,1866.0,-0.2,-11
21,Louisville,1861.0,-0.1,-38
22,Illinois,1859.0,-0.3,-6
23,Purdue,1852.0,-0.0,+85
24,USC,1851.0,-0.1,-48
25,George Mason,1848.0,-0.3,+32
26,Florida State,1841.0,-0.0,+54
27,Arizona,1841.0,-0.2,-15
28,Mississippi State,1837.0,-0.2,-66
29,West Virginia,1833.0,-0.0,+64
30,Utah,1832.0,-0.0,+1
31,LSU,1832.0,-0.3,-29
32,Florida,1825.0,-0.2,+5
33,TCU,1819.0,-0.1,+51
34,St. John's (NY),1816.0,-0.4,+50
35,Gonzaga,1807.0,-0.4,-1
36,Iowa State,1796.0,-0.1,-76
37,Iowa,1794.0,-0.0,+29
38,Marquette,1793.0,-0.0,-51
39,Indiana,1792.0,-0.3,+27
40,Texas Tech,1785.0,-0.1,-14
41,Missouri,1783.0,-0.0,+23
42,Grand Canyon,1783.0,-0.2,+21
43,Nebraska,1779.0,-0.1,-13
44,NC State,1776.0,-0.0,-31
45,Georgia Tech,1775.0,-0.2,+57
46,Villanova,1769.0,-0.0,+42
47,Oregon,1769.0,-0.0,-105
48,Vanderbilt,1769.0,-0.0,-99
49,Kansas,1768.0,-0.1,-63
50,BYU,1765.0,,+16
